[ikvasilev@sms results]$ cat all_experiments_h1.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,27.9000,5217,0.009461,0.127000,0.017591,0.011814,0.066000,0.019889
EXP3_HYBRID,10000,27.9000,6521,0.009685,0.132000,0.018705,0.011649,0.056000,0.021539
EXP3_HYBRID,10000,27.9000,7826,0.008663,0.118000,0.018148,0.009953,0.053000,0.020253
EXP3_HYBRID,10000,27.9000,9130,0.008773,0.119000,0.017858,0.010394,0.049000,0.019810
EXP3_HYBRID,10000,27.9000,10434,0.009445,0.105000,0.018860,0.010922,0.044000,0.021030
EXP3_HYBRID,10000,27.9000,11739,0.008848,0.089000,0.018623,0.010309,0.037000,0.021165
EXP3_HYBRID,10000,27.9000,13043,0.009401,0.099000,0.019191,0.010973,0.037000,0.022604
EXP3_HYBRID,10000,27.9000,16956,0.010142,0.080000,0.020371,0.012738,0.032000,0.022854
EXP3_HYBRID,10000,27.9000,14347,0.008951,0.098000,0.018164,0.013311,0.041000,0.021200
EXP3_HYBRID,10000,27.9000,15652,0.008986,0.097000,0.019173,0.017151,0.033000,0.022644
EXP3_HYBRID,10000,27.9000,18260,0.010666,0.081000,0.019597,0.012020,0.026000,0.023127
EXP3_HYBRID,10000,27.9000,19565,0.010504,0.080000,0.019909,0.013627,0.025000,0.023238
EXP3_HYBRID,10000,27.9000,20869,0.011367,0.075000,0.020656,0.012820,0.029000,0.023259
EXP3_HYBRID,10000,27.9000,22173,0.011647,0.060000,0.021760,0.014727,0.020000,0.024143
EXP3_HYBRID,10000,27.9000,23478,0.011998,0.064000,0.022078,0.018997,0.024000,0.025507
EXP3_HYBRID,10000,27.9000,24782,0.013577,0.061000,0.022634,0.014724,0.018000,0.025541
EXP3_HYBRID,10000,27.9000,26086,0.012248,0.051000,0.022220,0.013113,0.019000,0.023993
EXP3_HYBRID,10000,27.9000,27391,0.012311,0.056000,0.022232,0.015119,0.015000,0.024935
EXP3_HYBRID,10000,27.9000,28695,0.012133,0.056000,0.022124,0.015545,0.022000,0.024178
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP3_HYBRID,10000,27.9000,30000,0.012020,0.056000,0.021417,0.013115,0.020000,0.022701
EXP3_HYBRID,10000,27.9900,1304,0.008636,0.201000,0.018638,0.010107,0.083000,0.020863
EXP3_HYBRID,10000,27.9900,2608,0.009073,0.165000,0.017354,0.011243,0.065000,0.020034
EXP3_HYBRID,10000,27.9900,3913,0.008985,0.134000,0.017150,0.010360,0.064000,0.018536
EXP3_HYBRID,10000,27.9900,5217,0.007639,0.153000,0.017051,0.009248,0.073000,0.018897
EXP3_HYBRID,10000,27.9900,6521,0.008464,0.131000,0.017645,0.011891,0.054000,0.020595
EXP3_HYBRID,10000,27.9900,7826,0.008378,0.118000,0.016503,0.009686,0.056000,0.018717
EXP3_HYBRID,10000,27.9900,9130,0.008823,0.113000,0.017907,0.019805,0.041000,0.022887
EXP3_HYBRID,10000,27.9900,10434,0.008734,0.106000,0.017180,0.018934,0.044000,0.020912
EXP3_HYBRID,10000,27.9900,11739,0.008892,0.093000,0.018639,0.010851,0.042000,0.021225
EXP3_HYBRID,10000,27.9900,13043,0.010774,0.077000,0.018946,0.013273,0.041000,0.020414
EXP3_HYBRID,10000,27.9900,14347,0.010553,0.079000,0.019383,0.011573,0.036000,0.021398
EXP3_HYBRID,10000,27.9900,16956,0.009837,0.080000,0.018844,0.010504,0.038000,0.019927
EXP3_HYBRID,10000,27.9900,15652,0.010533,0.085000,0.019296,0.011062,0.039000,0.020283
EXP3_HYBRID,10000,27.9900,18260,0.010175,0.076000,0.017873,0.010851,0.033000,0.019624
EXP3_HYBRID,10000,27.9900,19565,0.009345,0.073000,0.017879,0.010332,0.030000,0.019210
EXP3_HYBRID,10000,27.9900,20869,0.010589,0.070000,0.018319,0.011338,0.028000,0.019729
EXP3_HYBRID,10000,27.9900,22173,0.011113,0.063000,0.019049,0.012565,0.027000,0.020485
EXP3_HYBRID,10000,27.9900,23478,0.011067,0.063000,0.019011,0.014958,0.024000,0.021930
EXP3_HYBRID,10000,27.9900,24782,0.009604,0.072000,0.017741,0.012857,0.028000,0.020118
EXP3_HYBRID,10000,27.9900,26086,0.010895,0.065000,0.018524,0.011404,0.034000,0.019852
EXP3_HYBRID,10000,27.9900,27391,0.011803,0.063000,0.019885,0.014150,0.031000,0.021408
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP3_HYBRID,10000,28.0001,1304,0.008885,0.245000,0.018433,0.011734,0.100000,0.021792
EXP3_HYBRID,10000,27.9900,28695,0.011748,0.057000,0.019581,0.012713,0.027000,0.020743
EXP3_HYBRID,10000,28.0001,2608,0.010691,0.206000,0.022149,0.014941,0.088000,0.025135
EXP3_HYBRID,10000,27.9900,30000,0.010410,0.060000,0.018170,0.013719,0.024000,0.020456
EXP3_HYBRID,10000,28.0001,3913,0.012727,0.191000,0.025289,0.018526,0.071000,0.031084
EXP3_HYBRID,10000,28.0001,5217,0.013059,0.184000,0.027249,0.015918,0.078000,0.031210
EXP3_HYBRID,10000,28.0001,6521,0.014080,0.179000,0.027912,0.018045,0.076000,0.032585
EXP3_HYBRID,10000,28.0001,7826,0.015359,0.155000,0.031471,0.017537,0.063000,0.035514
EXP3_HYBRID,10000,28.0001,9130,0.014312,0.151000,0.029793,0.017326,0.076000,0.031971
EXP3_HYBRID,10000,28.0001,10434,0.013401,0.129000,0.024980,0.017570,0.054000,0.028265
EXP3_HYBRID,10000,28.0001,11739,0.012054,0.115000,0.024825,0.014164,0.047000,0.027755
EXP3_HYBRID,10000,28.0001,13043,0.014005,0.106000,0.026978,0.017865,0.042000,0.030113
EXP3_HYBRID,10000,28.0001,14347,0.013084,0.105000,0.026621,0.018492,0.040000,0.030895
EXP3_HYBRID,10000,28.0001,15652,0.014604,0.102000,0.029073,0.016121,0.041000,0.029547
EXP2_MIX,4545,27.9000,5455,0.016436,0.209000,0.022851,0.024506,0.091000,0.026452
EXP2_MIX,0,27.9000,10000,0.010430,0.213000,0.023356,0.020904,0.100000,0.025778
EXP2_MIX,6363,27.9000,3637,0.010141,0.193000,0.018146,0.014066,0.082000,0.021138
EXP2_MIX,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP2_MIX,0,28.0001,10000,0.014941,0.265000,0.027787,0.028224,0.118000,0.037141
EXP2_MIX,1818,27.9000,8182,0.015563,0.359000,0.031626,0.035302,0.172000,0.046963
EXP2_MIX,9090,28.0001,910,0.009477,0.284000,0.019687,0.028700,0.113000,0.025181
EXP2_MIX,8181,28.0001,1819,0.009134,0.263000,0.018693,0.025933,0.118000,0.024385
EXP2_MIX,9090,27.9000,910,0.008349,0.246000,0.017649,0.011859,0.106000,0.020604
EXP2_MIX,7272,28.0001,2728,0.010721,0.263000,0.022737,0.014891,0.130000,0.025423
EXP2_MIX,7272,27.9000,2728,0.012092,0.207000,0.016847,0.022064,0.114000,0.021022
EXP2_MIX,909,28.0001,9091,0.012945,0.351000,0.032006,0.024738,0.172000,0.039254
EXP2_MIX,1818,28.0001,8182,0.010205,0.194000,0.022421,0.017849,0.073000,0.027837
EXP2_MIX,3636,27.9000,6364,0.010417,0.243000,0.022731,0.033023,0.123000,0.030669
EXP1_CLEAR,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP2_MIX,909,27.9000,9091,0.041298,0.565000,0.048334,0.050770,0.352000,0.070024
EXP2_MIX,3636,28.0001,6364,0.019121,0.413000,0.042572,0.035771,0.216000,0.054522
EXP2_MIX,8181,27.9000,1819,0.008752,0.191000,0.017724,0.026595,0.086000,0.023709
EXP2_MIX,5454,28.0001,4546,0.012825,0.313000,0.025637,0.019165,0.135000,0.030706
EXP2_MIX,5454,27.9000,4546,0.016948,0.246000,0.017891,0.030436,0.104000,0.026461
EXP2_MIX,6363,28.0001,3637,0.015284,0.294000,0.022786,0.016378,0.120000,0.025447
EXP2_MIX,4545,28.0001,5455,0.012502,0.307000,0.027104,0.015916,0.135000,0.031891
EXP2_MIX,2727,27.9000,7273,0.018313,0.332000,0.039771,0.032120,0.159000,0.050605
EXP2_MIX,2727,28.0001,7273,0.010838,0.171000,0.021755,0.014798,0.065000,0.025758
EXP1_CLEAR,11304,None,0,0.009528,0.151000,0.018222,0.010664,0.066000,0.019604
EXP1_CLEAR,12608,None,0,0.008834,0.180000,0.018117,0.013451,0.093000,0.020532
EXP1_CLEAR,13913,None,0,0.013901,0.150000,0.015789,0.019706,0.068000,0.019288
EXP1_CLEAR,15217,None,0,0.008827,0.137000,0.016701,0.014815,0.060000,0.018734
EXP1_CLEAR,16521,None,0,0.009658,0.129000,0.017491,0.019792,0.062000,0.021562
EXP1_CLEAR,17826,None,0,0.008132,0.125000,0.014621,0.016587,0.056000,0.018322
EXP2_MIX,0,28.0100,10000,0.017414,0.301000,0.038928,0.037941,0.135000,0.052250
EXP2_MIX,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP2_MIX,909,28.1000,9091,0.070955,0.674000,0.087797,0.072855,0.462000,0.095250
EXP2_MIX,7272,28.0100,2728,0.009463,0.271000,0.020332,0.022192,0.127000,0.024644
EXP2_MIX,2727,28.0100,7273,0.009785,0.247000,0.020822,0.019377,0.107000,0.025121
EXP2_MIX,4545,28.0100,5455,0.012252,0.300000,0.026124,0.016784,0.137000,0.030372
EXP2_MIX,1818,28.0100,8182,0.033846,0.595000,0.034967,0.041062,0.355000,0.046929
EXP2_MIX,8181,28.0100,1819,0.011728,0.311000,0.021737,0.018598,0.134000,0.024597
EXP2_MIX,909,28.0100,9091,0.088748,0.712000,0.110582,0.092440,0.506000,0.125782
EXP2_MIX,3636,28.1000,6364,0.016746,0.275000,0.029023,0.032221,0.120000,0.034202
EXP2_MIX,4545,28.1000,5455,0.009475,0.230000,0.019610,0.010529,0.104000,0.020118
EXP2_MIX,1818,28.1000,8182,0.016977,0.501000,0.033411,0.039176,0.258000,0.055140
EXP2_MIX,9090,28.0100,910,0.009619,0.296000,0.021492,0.026756,0.130000,0.029712
EXP2_MIX,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP2_MIX,3636,28.0100,6364,0.026225,0.359000,0.045193,0.034491,0.198000,0.050836
EXP2_MIX,0,28.1000,10000,0.010668,0.285000,0.024032,0.021556,0.146000,0.037430
EXP2_MIX,6363,28.0100,3637,0.015225,0.277000,0.022250,0.021532,0.122000,0.027705
EXP2_MIX,2727,28.1000,7273,0.019026,0.484000,0.037782,0.048111,0.274000,0.068032
EXP2_MIX,5454,28.1000,4546,0.009035,0.247000,0.016694,0.010717,0.120000,0.019909
EXP2_MIX,5454,28.0100,4546,0.013648,0.252000,0.024068,0.023285,0.116000,0.028603
EXP2_MIX,6363,28.1000,3637,0.009121,0.235000,0.016350,0.011599,0.101000,0.020007
EXP2_MIX,8181,28.1000,1819,0.008375,0.205000,0.016064,0.018942,0.102000,0.020198
EXP2_MIX,9090,28.1000,910,0.009712,0.342000,0.021037,0.014399,0.142000,0.025621
EXP2_MIX,7272,28.1000,2728,0.008618,0.222000,0.015604,0.018515,0.121000,0.018654
EXP1_CLEAR,19130,None,0,0.008552,0.121000,0.015903,0.021251,0.057000,0.022044
EXP2_MIX,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP1_CLEAR,20434,None,0,0.008385,0.105000,0.016048,0.014341,0.037000,0.019104
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP1_CLEAR,21739,None,0,0.009066,0.103000,0.016933,0.015799,0.046000,0.020257
EXP1_CLEAR,23043,None,0,0.007827,0.093000,0.017039,0.015773,0.035000,0.020143
EXP3_HYBRID,10000,27.9000,1304,0.008348,0.155000,0.016818,0.011905,0.071000,0.019572
EXP1_CLEAR,24347,None,0,0.009156,0.088000,0.017430,0.011244,0.033000,0.020245
EXP3_HYBRID,10000,27.9000,2608,0.008813,0.145000,0.016960,0.013989,0.080000,0.018924
EXP1_CLEAR,25652,None,0,0.011402,0.061000,0.019989,0.012208,0.024000,0.021482
EXP1_CLEAR,26956,None,0,0.009895,0.064000,0.018122,0.011520,0.026000,0.019399
EXP3_HYBRID,10000,27.9000,3913,0.008765,0.149000,0.018377,0.009971,0.068000,0.020552
EXP1_CLEAR,28260,None,0,0.011998,0.073000,0.017287,0.013377,0.026000,0.020037
EXP1_CLEAR,29565,None,0,0.010503,0.056000,0.018200,0.012331,0.022000,0.020799
EXP3_HYBRID,10000,27.9000,5217,0.009461,0.127000,0.017591,0.011814,0.066000,0.019889
EXP1_CLEAR,30869,None,0,0.009516,0.077000,0.016278,0.019832,0.031000,0.021045
EXP3_HYBRID,10000,27.9000,6521,0.009685,0.132000,0.018705,0.011649,0.056000,0.021539
EXP1_CLEAR,32173,None,0,0.009566,0.059000,0.017595,0.012320,0.025000,0.021210
EXP3_HYBRID,10000,27.9000,7826,0.008663,0.118000,0.018148,0.009953,0.053000,0.020253
EXP3_HYBRID,10000,27.9000,9130,0.008773,0.119000,0.017858,0.010394,0.049000,0.019810
EXP1_CLEAR,34782,None,0,0.009761,0.059000,0.016679,0.015050,0.019000,0.022168
EXP1_CLEAR,33478,None,0,0.008967,0.068000,0.016586,0.013320,0.022000,0.020184
EXP1_CLEAR,36086,None,0,0.009839,0.064000,0.017532,0.014117,0.030000,0.019410
EXP1_CLEAR,37391,None,0,0.012830,0.043000,0.020681,0.018846,0.010000,0.022668
EXP1_CLEAR,38695,None,0,0.010682,0.050000,0.018355,0.018966,0.011000,0.023540
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP1_CLEAR,40000,None,0,0.013008,0.069000,0.018974,0.015950,0.029000,0.021955
EXP3_HYBRID,10000,27.9900,1304,0.008636,0.201000,0.018638,0.010107,0.083000,0.020863
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP3_HYBRID,10000,27.9900,2608,0.009073,0.165000,0.017354,0.011243,0.065000,0.020034
EXP3_HYBRID,10000,28.0001,1304,0.008885,0.245000,0.018433,0.011734,0.100000,0.021792
EXP3_HYBRID,10000,27.9900,3913,0.008985,0.134000,0.017150,0.010360,0.064000,0.018536
EXP3_HYBRID,10000,27.9900,5217,0.007639,0.153000,0.017051,0.009248,0.073000,0.018897
EXP3_HYBRID,10000,27.9900,6521,0.008464,0.131000,0.017645,0.011891,0.054000,0.020595
EXP3_HYBRID,10000,28.0001,2608,0.010691,0.206000,0.022149,0.014941,0.088000,0.025135
EXP3_HYBRID,10000,28.0001,3913,0.012727,0.191000,0.025289,0.018526,0.071000,0.031084
EXP3_HYBRID,10000,27.9900,7826,0.008378,0.118000,0.016503,0.009686,0.056000,0.018717
EXP3_HYBRID,10000,27.9900,9130,0.008823,0.113000,0.017907,0.019805,0.041000,0.022887
EXP3_HYBRID,10000,27.9900,10434,0.008734,0.106000,0.017180,0.018934,0.044000,0.020912
EXP3_HYBRID,10000,28.0001,5217,0.013059,0.184000,0.027249,0.015918,0.078000,0.031210
EXP3_HYBRID,10000,27.9900,11739,0.008892,0.093000,0.018639,0.010851,0.042000,0.021225
EXP3_HYBRID,10000,27.9000,10434,0.009445,0.105000,0.018860,0.010922,0.044000,0.021030
EXP3_HYBRID,10000,27.9900,13043,0.010774,0.077000,0.018946,0.013273,0.041000,0.020414
EXP3_HYBRID,10000,27.9000,11739,0.008848,0.089000,0.018623,0.010309,0.037000,0.021165
EXP3_HYBRID,10000,28.0001,6521,0.014080,0.179000,0.027912,0.018045,0.076000,0.032585
EXP3_HYBRID,10000,27.9900,14347,0.010553,0.079000,0.019383,0.011573,0.036000,0.021398
EXP3_HYBRID,10000,27.9000,13043,0.009401,0.099000,0.019191,0.010973,0.037000,0.022604
EXP3_HYBRID,10000,27.9900,15652,0.010533,0.085000,0.019296,0.011062,0.039000,0.020283
EXP3_HYBRID,10000,28.0001,7826,0.015359,0.155000,0.031471,0.017537,0.063000,0.035514
EXP3_HYBRID,10000,27.9000,14347,0.008951,0.098000,0.018164,0.013311,0.041000,0.021200
EXP3_HYBRID,10000,27.9000,15652,0.008986,0.097000,0.019173,0.017151,0.033000,0.022644
EXP3_HYBRID,10000,27.9900,16956,0.009837,0.080000,0.018844,0.010504,0.038000,0.019927
EXP3_HYBRID,10000,28.0001,9130,0.014312,0.151000,0.029793,0.017326,0.076000,0.031971
EXP3_HYBRID,10000,27.9000,16956,0.010142,0.080000,0.020371,0.012738,0.032000,0.022854
EXP3_HYBRID,10000,27.9900,18260,0.010175,0.076000,0.017873,0.010851,0.033000,0.019624
EXP3_HYBRID,10000,28.0001,10434,0.013401,0.129000,0.024980,0.017570,0.054000,0.028265
EXP3_HYBRID,10000,27.9000,18260,0.010666,0.081000,0.019597,0.012020,0.026000,0.023127
EXP3_HYBRID,10000,27.9900,19565,0.009345,0.073000,0.017879,0.010332,0.030000,0.019210
EXP3_HYBRID,10000,28.0001,11739,0.012054,0.115000,0.024825,0.014164,0.047000,0.027755
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
EXP3_HYBRID,10000,27.9900,20869,0.010589,0.070000,0.018319,0.011338,0.028000,0.019729
EXP3_HYBRID,10000,27.9000,19565,0.010504,0.080000,0.019909,0.013627,0.025000,0.023238
EXP3_HYBRID,10000,28.0100,1304,0.009031,0.232000,0.018274,0.012490,0.091000,0.023557
EXP3_HYBRID,10000,28.0001,13043,0.014005,0.106000,0.026978,0.017865,0.042000,0.030113
EXP3_HYBRID,10000,27.9900,22173,0.011113,0.063000,0.019049,0.012565,0.027000,0.020485
EXP3_HYBRID,10000,27.9000,20869,0.011367,0.075000,0.020656,0.012820,0.029000,0.023259
EXP3_HYBRID,10000,27.9900,23478,0.011067,0.063000,0.019011,0.014958,0.024000,0.021930
EXP3_HYBRID,10000,28.0100,2608,0.009921,0.201000,0.019921,0.017940,0.080000,0.023209
EXP3_HYBRID,10000,27.9000,22173,0.011647,0.060000,0.021760,0.014727,0.020000,0.024143
EXP3_HYBRID,10000,27.9900,24782,0.009604,0.072000,0.017741,0.012857,0.028000,0.020118
EXP3_HYBRID,10000,28.0001,14347,0.013084,0.105000,0.026621,0.018492,0.040000,0.030895
EXP3_HYBRID,10000,28.0100,3913,0.012363,0.183000,0.023413,0.015863,0.067000,0.026627
EXP3_HYBRID,10000,27.9000,23478,0.011998,0.064000,0.022078,0.018997,0.024000,0.025507
EXP3_HYBRID,10000,27.9000,24782,0.013577,0.061000,0.022634,0.014724,0.018000,0.025541
EXP3_HYBRID,10000,27.9900,26086,0.010895,0.065000,0.018524,0.011404,0.034000,0.019852
EXP3_HYBRID,10000,27.9900,28695,0.011748,0.057000,0.019581,0.012713,0.027000,0.020743
EXP3_HYBRID,10000,28.0001,15652,0.014604,0.102000,0.029073,0.016121,0.041000,0.029547
EXP3_HYBRID,10000,28.0100,5217,0.013919,0.164000,0.025691,0.016548,0.069000,0.028594
EXP3_HYBRID,10000,27.9900,27391,0.011803,0.063000,0.019885,0.014150,0.031000,0.021408
EXP3_HYBRID,10000,27.9000,26086,0.012248,0.051000,0.022220,0.013113,0.019000,0.023993
EXP3_HYBRID,10000,27.9000,27391,0.012311,0.056000,0.022232,0.015119,0.015000,0.024935
EXP3_HYBRID,10000,28.0100,6521,0.013070,0.146000,0.025627,0.017053,0.057000,0.029029
EXP3_HYBRID,10000,28.0001,16956,0.014390,0.086000,0.027679,0.014755,0.035000,0.028550
EXP3_HYBRID,10000,27.9000,28695,0.012133,0.056000,0.022124,0.015545,0.022000,0.024178
EXP3_HYBRID,10000,28.0100,7826,0.013104,0.151000,0.029090,0.017679,0.065000,0.032833
EXP3_HYBRID,10000,28.0001,18260,0.015508,0.091000,0.028625,0.017647,0.033000,0.030407
EXP3_HYBRID,10000,28.0100,9130,0.014413,0.153000,0.031033,0.017975,0.065000,0.033922
EXP3_HYBRID,10000,None,0,0.008207,0.225000,0.017000,0.011686,0.086000,0.021870
